Train Number,Boarding Station,Destination,Date of Journey,Booking Date,Class,Total Seats in Class,Type of Waiting List,Booking Status,Maximum Waiting,festival,Holidays,status before three weeks,status before two weeks,status before one week,status before three days,status before one day,confirm
19168,ABP,ADI,19-11-2017,08-09-2017,SL,880,GNWL,27,66,0,0,26,19,9,0,0,1
19166,ABP,ADI,08-10-2017,21-07-2017,3A,216,GNWL,12,45,0,0,8,5,0,0,0,1
19166,ABP,ADI,11-11-2017,26-11-2017,SL,880,RLWL,89,106,1,1,81,74,68,62,57,0
18191,ABP,CNB,26-07-2017,07-04-2017,2A,182,GNWL,20,29,1,0,19,17,16,15,11,0
15635,ABP,GHY,16-12-2017,20-10-2017,SL,880,RLWL,77,103,1,0,75,69,62,52,47,0
15025,ABP,ANVT,19-08-2017,20-08-2017,3A,216,GNWL,33,44,1,0,30,29,28,25,19,0
14853,ABP,JU,20-07-2017,05-07-2017,2A,182,GNWL,22,25,1,0,20,18,15,12,9,0
14649,ABP,DLI,19-08-2017,10-08-2017,SL,880,GNWL,16,70,0,1,14,10,3,0,0,1
13510,ABP,KIUL,08-09-2017,13-07-2017,3A,216,GNWL,28,49,0,1,27,26,25,23,22,0
13484,ABP,ARA,29-10-2017,16-09-2017,2A,182,RLWL,6,20,1,1,5,3,0,0,0,1
13484,ABP,ARA,21-11-2017,11-11-2017,3A,216,RLWL,37,49,0,1,33,28,26,24,21,0
13483,ABP,DLI,24-12-2017,07-09-2017,SL,880,GNWL,62,95,1,0,56,47,37,36,34,0
13483,ABP,DLI,19-10-2017,28-07-2017,3A,216,RLWL,5,37,1,1,1,0,0,0,0,1
13308,ABP,DOS,18-11-2017,20-08-2017,3A,216,GNWL,44,52,1,1,41,40,39,36,33,0
13307,ABP,SIR,12-09-2017,15-07-2017,SL,880,GNWL,50,70,0,0,43,37,29,21,9,0
13307,ABP,NBD,17-09-2017,18-08-2017,SL,880,GNWL,36,44,1,0,30,25,24,21,13,0
13307,ABP,LDH,03-11-2017,05-10-2017,SL,880,GNWL,20,86,0,0,13,4,0,0,0,1
13238,ABP,ARA,18-08-2017,06-08-2017,2A,182,GNWL,9,17,1,0,7,5,1,0,0,1
13237,ABP,KOTA,17-07-2017,19-05-2017,SL,880,RLWL,15,98,0,1,14,10,5,4,3,1
13237,ABP,KOTA,02-09-2017,10-09-2017,SL,880,GNWL,37,71,0,0,35,27,21,13,8,0
13151,ABP,BE,22-10-2017,01-07-2017,SL,880,RLWL,30,31,1,0,25,17,15,3,0,1
13010,ABP,PAN,26-11-2017,26-07-2017,SL,880,RLWL,98,106,1,1,97,94,88,77,64,0
13010,ABP,HWH,18-10-2017,16-08-2017,SL,880,GNWL,48,95,1,1,44,38,29,19,7,0
13010,ABP,HWH,02-08-2017,25-05-2017,SL,880,RLWL,17,42,1,0,13,7,0,0,0,1
13010,ABP,HWH,07-12-2017,24-09-2017,SL,880,RLWL,23,62,1,0,17,9,6,3,0,1
13010,ABP,HWH,30-09-2017,22-09-2017,3A,216,RLWL,36,39,0,0,35,30,26,24,18,0
13010,ABP,HWH,01-09-2017,16-07-2017,3A,216,GNWL,7,34,1,0,6,1,0,0,0,1
13009,ABP,HW,19-09-2017,09-06-2017,SL,880,RLWL,93,100,1,0,88,87,83,78,67,0
13009,ABP,HW,25-12-2017,23-09-2017,SL,880,GNWL,8,78,1,1,7,6,0,0,0,1
13009,ABP,LKO,12-08-2017,15-08-2017,3A,216,GNWL,24,28,0,0,21,20,17,15,13,0
12225,ABP,DLI,29-11-2017,11-08-2017,SL,880,RLWL,91,101,0,0,84,79,78,68,65,0
12225,ABP,DLI,11-10-2017,26-07-2017,SL,880,GNWL,83,97,1,1,79,78,74,63,54,0
12225,ABP,DLI,29-07-2017,10-07-2017,SL,880,GNWL,37,98,1,1,31,26,24,20,14,0
12225,ABP,DLI,15-12-2017,06-11-2017,SL,880,GNWL,58,98,0,0,57,52,42,32,29,0
22916,ABR,ANND,11-07-2017,25-05-2017,2A,182,GNWL,8,9,0,0,6,3,0,0,0,1
22473,ABR,BL,09-08-2017,15-07-2017,3A,216,RLWL,15,48,0,1,11,8,6,5,0,1
22452,ABR,ST,05-08-2017,11-06-2017,3A,216,GNWL,12,12,1,0,11,9,5,3,0,1
19708,ABR,BDTS,11-09-2017,19-08-2017,3A,216,GNWL,27,28,1,0,23,19,15,11,5,0
19708,ABR,ADI,14-08-2017,16-08-2017,SL,880,GNWL,94,105,0,1,89,86,83,76,64,0
19707,ABR,JP,10-10-2017,30-07-2017,SL,880,RLWL,5,62,0,1,2,0,0,0,0,1
19579,ABR,JP,22-08-2017,13-07-2017,3A,216,RLWL,16,51,0,1,14,11,8,3,0,1
19409,ABR,CNB,21-08-2017,14-06-2017,SL,880,GNWL,27,87,1,1,22,18,12,6,2,1
19409,ABR,FBD,29-09-2017,07-09-2017,1A,10,RLWL,12,15,1,1,11,10,8,6,5,0
19403,ABR,JP,16-12-2017,01-09-2017,SL,880,RLWL,10,11,0,0,4,0,0,0,0,1
19223,ABR,KKP,24-12-2017,03-11-2017,1A,10,GNWL,12,21,1,1,11,10,8,6,4,0
19223,ABR,JU,14-08-2017,25-08-2017,SL,880,RLWL,47,57,0,1,43,42,37,33,23,0
19107,ABR,FZR,11-09-2017,12-08-2017,3A,216,GNWL,35,37,0,1,31,26,23,18,14,0
19031,ABR,GZB,20-12-2017,10-11-2017,SL,880,GNWL,32,67,1,0,29,24,14,12,7,0
18422,ABR,BBS,10-09-2017,09-06-2017,1A,10,GNWL,1,5,0,0,0,0,0,0,0,1
16588,ABR,SUR,30-11-2017,21-08-2017,SL,880,RLWL,62,104,0,1,55,47,45,42,30,0
16588,ABR,UBL,25-11-2017,01-11-2017,2A,182,RLWL,11,27,1,0,10,9,8,7,5,0
16588,ABR,YPR,14-12-2017,28-11-2017,SL,880,GNWL,96,96,0,0,89,82,73,61,54,0
16588,ABR,UBL,23-08-2017,09-05-2017,SL,880,RLWL,81,99,1,0,77,71,62,54,45,0
16533,ABR,MRJ,21-08-2017,04-07-2017,3A,216,GNWL,48,50,1,1,46,44,39,34,30,0
16533,ABR,ANND,21-12-2017,11-09-2017,2A,182,GNWL,12,23,0,0,10,9,8,6,5,0
16531,ABR,ANND,16-08-2017,16-07-2017,SL,880,RLWL,76,89,0,0,72,67,66,57,56,0
16507,ABR,STR,08-12-2017,21-12-2017,SL,880,RLWL,94,109,0,1,87,80,79,67,66,0
16209,ABR,SLI,11-07-2017,27-06-2017,2A,182,GNWL,12,27,0,0,11,8,5,4,2,0
14707,ABR,BVI,24-07-2017,20-07-2017,3A,216,GNWL,26,28,0,1,24,21,20,17,13,0
14707,ABR,BL,17-10-2017,09-10-2017,SL,880,RLWL,34,87,0,0,27,20,19,9,6,1
14707,ABR,BDTS,11-09-2017,15-07-2017,SL,880,RLWL,77,105,1,0,76,73,68,59,53,0
12990,ABR,DDR,05-07-2017,28-04-2017,SL,880,GNWL,8,69,1,0,6,1,0,0,0,1
12957,ABR,NDLS,13-10-2017,09-09-2017,SL,880,RLWL,27,80,0,0,25,24,19,13,3,0
12957,ABR,NDLS,12-08-2017,22-08-2017,2A,182,GNWL,22,22,0,0,20,17,16,12,9,0
12957,ABR,NDLS,20-08-2017,13-06-2017,3A,216,GNWL,36,41,0,1,32,27,23,17,16,0
12916,ABR,ADI,22-10-2017,30-10-2017,3A,216,GNWL,14,25,1,0,12,8,5,2,1,0
12916,ABR,ADI,25-09-2017,30-09-2017,2A,182,GNWL,30,31,1,0,29,28,25,24,20,0
12916,ABR,ADI,13-11-2017,29-08-2017,SL,880,RLWL,69,74,1,0,61,57,50,44,39,0
12915,ABR,GGN,22-10-2017,01-10-2017,3A,216,RLWL,47,52,0,0,44,42,37,32,28,0
12548,ABR,JP,20-09-2017,29-09-2017,SL,880,GNWL,54,103,0,0,47,44,39,33,20,0
12548,ABR,AF,20-07-2017,06-04-2017,1A,10,GNWL,10,21,0,0,9,8,7,5,3,0
12479,ABR,ST,24-10-2017,19-09-2017,2A,182,RLWL,1,30,1,0,0,0,0,0,0,1
12479,ABR,ADI,02-11-2017,21-08-2017,3A,216,GNWL,32,38,0,0,30,27,23,18,12,0
12479,ABR,ADI,04-11-2017,08-09-2017,3A,216,GNWL,6,26,0,0,3,0,0,0,0,1
11089,ABR,PUNE,27-11-2017,14-08-2017,SL,880,GNWL,94,110,1,0,89,86,84,77,65,0
12482,ABS,DLI,09-08-2017,17-06-2017,1A,10,GNWL,20,22,0,0,19,17,16,14,13,0
22601,AD,DD,08-12-2017,05-11-2017,2A,182,RLWL,30,30,0,0,28,26,23,22,18,0
19419,AD,BSR,08-10-2017,13-09-2017,SL,880,RLWL,64,103,1,0,59,52,43,33,21,0
19419,AD,BSR,23-09-2017,30-06-2017,SL,880,RLWL,67,98,0,0,64,61,55,52,40,0
17430,AD,HYB,05-11-2017,13-10-2017,SL,880,RLWL,52,66,1,1,51,45,41,30,23,0
17430,AD,HYB,05-07-2017,02-06-2017,3A,216,RLWL,6,28,0,0,5,2,0,0,0,1
16614,AD,BL,19-10-2017,13-09-2017,SL,880,RLWL,84,100,1,0,78,74,68,64,63,0
16593,AD,SBC,01-12-2017,19-09-2017,SL,880,RLWL,54,100,1,1,53,51,44,34,32,0
16593,AD,SBC,20-09-2017,15-07-2017,SL,880,RLWL,23,41,1,0,15,11,6,1,0,1
16593,AD,YPR,07-10-2017,11-10-2017,SL,880,GNWL,73,78,1,0,68,60,59,55,46,0
16381,AD,CNGR,28-09-2017,06-08-2017,3A,216,GNWL,5,41,0,0,2,0,0,0,0,1
16381,AD,ERN,13-11-2017,18-08-2017,SL,880,GNWL,49,74,1,1,42,36,35,31,25,0
12164,AD,DR,04-08-2017,03-07-2017,2A,182,GNWL,28,32,0,1,27,25,22,18,16,0
11042,AD,DD,01-08-2017,11-06-2017,2A,182,GNWL,13,23,0,1,11,9,5,3,0,1
11014,AD,LTT,05-07-2017,07-05-2017,SL,880,RLWL,33,94,1,1,32,25,16,4,0,1
17406,ADB,BZA,13-08-2017,03-05-2017,SL,880,RLWL,44,110,1,1,42,34,32,21,20,0
17406,ADB,SC,19-11-2017,11-09-2017,SL,880,GNWL,98,107,1,1,91,85,78,70,68,0
11402,ADB,DR,05-11-2017,24-09-2017,3A,216,GNWL,21,21,0,1,19,18,15,13,8,0
22927,ADH,ADI,16-09-2017,27-06-2017,3A,216,RLWL,24,52,1,1,23,19,15,10,8,0
22927,ADH,ADI,15-12-2017,13-09-2017,2A,182,GNWL,28,28,1,0,27,26,22,20,16,0
22927,ADH,ADI,06-08-2017,06-06-2017,3A,216,GNWL,2,40,1,1,0,0,0,0,0,1
22927,ADH,ADI,16-11-2017,26-08-2017,3A,216,GNWL,2,24,0,0,0,0,0,0,0,1
22927,ADH,ADI,28-07-2017,08-05-2017,SL,880,RLWL,11,33,1,1,4,0,0,0,0,1
22927,ADH,ADI,23-11-2017,25-10-2017,SL,880,GNWL,87,90,0,1,81,76,68,64,51,0
19707,ADH,VAPI,25-08-2017,14-06-2017,3A,216,RLWL,50,54,0,0,46,42,39,38,32,0
12971,ADH,BTD,29-11-2017,25-10-2017,3A,216,RLWL,37,40,0,0,36,32,30,28,24,0
12971,ADH,BVC,07-09-2017,27-09-2017,1A,10,GNWL,11,12,0,1,10,8,7,6,4,0
12953,ADH,NZM,07-09-2017,14-09-2017,3A,216,RLWL,26,35,1,0,23,18,13,11,5,0
12953,ADH,NZM,05-09-2017,01-08-2017,2A,182,RLWL,21,25,0,0,19,16,14,10,5,0
12953,ADH,NZM,19-11-2017,11-08-2017,SL,880,RLWL,84,104,0,0,82,73,65,57,50,0
12935,ADH,ST,16-10-2017,17-09-2017,SL,880,RLWL,19,79,0,1,17,8,4,0,0,1
12921,ADH,NVS,18-08-2017,02-07-2017,1A,10,GNWL,2,5,0,1,1,0,0,0,0,1
59440,ADI,ST,19-12-2017,12-10-2017,3A,216,RLWL,1,50,1,1,0,0,0,0,0,1
59440,ADI,DRD,08-08-2017,15-05-2017,1A,10,RLWL,17,18,0,0,16,14,13,11,9,0
59440,ADI,DRD,19-08-2017,04-06-2017,3A,216,RLWL,18,28,0,0,14,13,10,7,2,0
59440,ADI,ST,08-07-2017,19-04-2017,SL,880,RLWL,86,92,1,1,83,79,70,62,50,0
59440,ADI,DRD,17-10-2017,07-08-2017,SL,880,GNWL,31,33,1,0,26,20,19,9,0,1
54805,ADI,NANA,13-08-2017,24-08-2017,2A,182,RLWL,30,30,1,0,28,26,25,23,20,0
54805,ADI,ABR,17-12-2017,07-10-2017,3A,216,RLWL,25,48,1,0,23,20,19,13,9,0
54805,ADI,ABR,26-11-2017,15-09-2017,2A,182,GNWL,22,33,1,0,20,17,16,14,9,0
54805,ADI,ABR,07-08-2017,07-05-2017,3A,216,RLWL,34,47,0,1,32,30,25,21,16,0
54805,ADI,ABR,08-11-2017,15-08-2017,3A,216,GNWL,32,35,1,1,31,30,29,23,21,0
22939,ADI,NGP,06-11-2017,13-11-2017,3A,216,RLWL,41,55,1,1,38,35,32,31,28,0
22939,ADI,R,25-07-2017,03-04-2017,SL,880,GNWL,91,110,0,0,84,77,74,65,53,0
22937,ADI,ST,20-11-2017,30-11-2017,3A,216,RLWL,9,40,1,0,6,1,0,0,0,1
22936,ADI,BDTS,04-10-2017,09-08-2017,SL,880,RLWL,90,109,0,0,82,80,71,68,65,0
22936,ADI,BDTS,03-11-2017,06-11-2017,3A,216,GNWL,37,43,0,1,34,32,31,26,25,0
22932,ADI,BDTS,19-11-2017,11-08-2017,2A,182,GNWL,1,21,1,0,0,0,0,0,0,1
22932,ADI,VAPI,14-10-2017,18-07-2017,2A,182,GNWL,1,6,1,1,0,0,0,0,0,1
22928,ADI,ST,22-08-2017,06-06-2017,2A,182,GNWL,19,25,0,0,17,16,12,10,9,0
22928,ADI,BDTS,25-12-2017,17-12-2017,SL,880,RLWL,40,61,0,1,37,32,28,24,16,0
22928,ADI,BDTS,09-11-2017,05-08-2017,3A,216,RLWL,8,13,1,0,6,1,0,0,0,1
22928,ADI,BDTS,17-12-2017,24-09-2017,1A,10,GNWL,15,18,0,1,14,13,11,9,7,0
22928,ADI,BDTS,16-12-2017,02-11-2017,1A,10,RLWL,4,21,1,1,3,2,1,0,0,1
22928,ADI,BVI,17-10-2017,03-09-2017,SL,880,GNWL,9,58,0,0,5,2,0,0,0,1
22928,ADI,VAPI,30-09-2017,21-06-2017,SL,880,GNWL,38,47,1,0,33,27,18,17,16,0
22928,ADI,BVI,25-08-2017,17-05-2017,2A,182,RLWL,26,27,0,0,25,22,19,18,15,0
22928,ADI,BVI,03-08-2017,30-08-2017,3A,216,RLWL,23,26,0,0,22,18,13,12,8,0
22928,ADI,BVI,14-12-2017,06-09-2017,2A,182,RLWL,25,32,0,1,23,20,16,12,8,0
22928,ADI,BDTS,24-09-2017,06-08-2017,3A,216,RLWL,43,49,1,1,40,39,36,35,30,0
22928,ADI,BDTS,08-12-2017,22-12-2017,SL,880,GNWL,97,107,0,0,93,84,81,80,69,0
22928,ADI,BVI,07-09-2017,23-08-2017,3A,216,GNWL,27,36,0,0,26,24,22,19,16,0
22928,ADI,BVI,01-12-2017,25-10-2017,3A,216,GNWL,7,53,1,0,6,5,2,0,0,1
22928,ADI,BDTS,13-08-2017,08-06-2017,SL,880,RLWL,92,106,1,1,89,80,72,71,65,0
22928,ADI,BVI,18-07-2017,20-04-2017,3A,216,RLWL,25,27,0,1,22,19,17,11,5,0
22928,ADI,BDTS,25-08-2017,04-05-2017,3A,216,RLWL,26,48,0,0,22,18,15,10,4,0
22928,ADI,BDTS,01-08-2017,18-05-2017,1A,10,RLWL,2,5,0,1,1,0,0,0,0,1
22928,ADI,ST,15-11-2017,09-09-2017,2A,182,GNWL,7,11,1,1,5,3,2,0,0,1
22928,ADI,BVI,16-08-2017,05-08-2017,3A,216,RLWL,43,46,1,0,39,35,31,30,24,0
22928,ADI,BVI,13-10-2017,29-08-2017,1A,10,RLWL,17,20,1,0,16,14,12,10,9,0
22928,ADI,BDTS,21-10-2017,27-07-2017,2A,182,RLWL,9,14,0,0,7,5,3,0,0,1
22928,ADI,BDTS,29-09-2017,23-08-2017,2A,182,RLWL,12,30,1,0,11,8,6,4,1,1
22928,ADI,BDTS,13-11-2017,21-11-2017,SL,880,RLWL,54,78,0,1,49,45,37,36,33,0
22928,ADI,BDTS,18-11-2017,03-11-2017,2A,182,RLWL,29,31,1,0,27,26,25,22,17,0
22928,ADI,BDTS,10-11-2017,26-11-2017,3A,216,GNWL,35,37,1,1,31,30,26,25,21,0
22928,ADI,BVI,13-07-2017,26-05-2017,SL,880,GNWL,32,33,1,0,25,24,18,11,9,0
22928,ADI,BVI,27-12-2017,20-10-2017,1A,10,GNWL,15,15,0,0,14,13,12,11,10,0
22928,ADI,BVI,16-12-2017,22-10-2017,SL,880,RLWL,22,43,1,0,18,9,2,0,0,1
22928,ADI,BDTS,14-12-2017,20-10-2017,2A,182,GNWL,4,18,1,0,3,0,0,0,0,1
22928,ADI,BVI,05-11-2017,08-11-2017,3A,216,GNWL,26,53,0,0,23,18,17,16,10,0
22928,ADI,BVI,23-11-2017,05-11-2017,SL,880,GNWL,81,107,0,1,73,70,62,59,53,0
22928,ADI,BDTS,04-11-2017,24-11-2017,2A,182,GNWL,2,25,1,1,0,0,0,0,0,1
22928,ADI,BDTS,03-12-2017,09-12-2017,3A,216,GNWL,33,49,0,0,31,26,21,20,18,0
22928,ADI,BDTS,20-11-2017,10-10-2017,SL,880,GNWL,31,108,1,1,26,22,16,12,4,0
22928,ADI,BDTS,10-07-2017,25-05-2017,SL,880,GNWL,89,98,1,1,88,85,78,76,74,0
22928,ADI,BDTS,12-07-2017,20-07-2017,SL,880,GNWL,16,103,1,1,15,7,5,2,0,1
22928,ADI,BDTS,02-07-2017,09-05-2017,SL,880,RLWL,22,77,0,0,16,14,4,1,0,1
22928,ADI,BVI,14-08-2017,07-08-2017,2A,182,RLWL,13,32,0,0,11,9,6,2,0,1
22928,ADI,ST,07-10-2017,14-08-2017,SL,880,GNWL,3,108,1,1,0,0,0,0,0,1
22928,ADI,BVI,19-11-2017,25-11-2017,1A,10,RLWL,20,20,1,0,19,17,16,15,14,0
22928,ADI,BVI,15-10-2017,28-07-2017,2A,182,RLWL,20,24,1,0,18,15,11,7,2,0
22928,ADI,BDTS,14-08-2017,07-06-2017,2A,182,RLWL,27,28,1,0,25,23,22,19,16,0
22928,ADI,BDTS,11-11-2017,03-11-2017,SL,880,RLWL,75,94,0,0,72,64,54,52,40,0
22928,ADI,BDTS,24-08-2017,27-05-2017,SL,880,RLWL,76,109,1,1,71,69,64,59,52,0
22928,ADI,BVI,05-08-2017,29-06-2017,SL,880,GNWL,22,77,1,1,21,16,6,0,0,1
22928,ADI,VAPI,16-11-2017,09-09-2017,2A,182,GNWL,18,31,1,1,17,15,12,8,5,0
22928,ADI,ADH,22-11-2017,13-09-2017,3A,216,GNWL,33,54,1,1,29,28,23,17,13,0
22908,ADI,MAO,22-12-2017,12-12-2017,SL,880,GNWL,90,107,0,0,89,82,78,68,61,0
22908,ADI,MAO,23-09-2017,19-06-2017,2A,182,GNWL,17,22,0,1,15,12,11,10,5,0
22905,ADI,HWH,05-12-2017,21-10-2017,3A,216,RLWL,29,51,0,1,26,25,22,21,16,0
22904,ADI,BVI,13-07-2017,25-06-2017,SL,880,RLWL,24,66,0,0,20,11,3,0,0,1
22904,ADI,BDTS,08-09-2017,18-09-2017,SL,880,RLWL,20,20,1,1,19,14,4,0,0,1
22903,ADI,BHUJ,17-11-2017,27-08-2017,SL,880,GNWL,23,71,1,1,21,14,8,3,2,1
22829,ADI,KMZ,22-10-2017,11-08-2017,SL,880,RLWL,26,52,0,1,20,15,6,2,0,1
22475,ADI,MAO,17-12-2017,10-10-2017,SL,880,GNWL,68,95,0,1,60,59,58,53,52,0
22474,ADI,JU,02-07-2017,02-04-2017,2A,182,RLWL,19,32,0,0,18,16,15,14,9,0
22474,ADI,PMY,15-12-2017,13-11-2017,SL,880,RLWL,62,78,0,1,55,52,50,44,39,0
22451,ADI,UMB,26-10-2017,18-09-2017,SL,880,GNWL,10,71,1,1,9,4,2,0,0,1
22451,ADI,CDG,05-09-2017,24-07-2017,2A,182,GNWL,15,16,0,1,13,11,8,7,5,0
22451,ADI,NNL,03-11-2017,25-11-2017,SL,880,GNWL,93,94,1,1,91,85,75,65,55,0
19708,ADI,BVI,11-10-2017,11-09-2017,3A,216,GNWL,17,18,0,0,16,14,10,9,7,0
19708,ADI,BDTS,04-08-2017,23-06-2017,SL,880,RLWL,79,80,1,1,78,71,67,58,47,0
19708,ADI,BDTS,29-08-2017,16-05-2017,SL,880,GNWL,77,110,1,1,72,63,58,51,47,0
19707,ADI,FA,03-11-2017,12-11-2017,SL,880,RLWL,68,103,1,0,62,53,43,32,31,0
19707,ADI,JP,25-08-2017,15-08-2017,3A,216,GNWL,10,14,1,1,9,6,2,0,0,1
19707,ADI,AII,12-07-2017,09-07-2017,2A,182,RLWL,8,31,1,0,7,4,3,0,0,1
19707,ADI,JP,30-09-2017,22-08-2017,SL,880,RLWL,88,108,1,0,81,75,72,65,56,0
19707,ADI,AII,07-12-2017,17-10-2017,2A,182,RLWL,3,5,1,0,2,0,0,0,0,1
19707,ADI,ABR,13-11-2017,03-09-2017,1A,10,RLWL,2,12,0,0,1,0,0,0,0,1
19707,ADI,ABR,18-08-2017,07-05-2017,3A,216,RLWL,28,52,0,1,24,22,21,15,11,0
19707,ADI,UJA,29-11-2017,19-11-2017,SL,880,RLWL,35,101,0,1,34,29,26,24,11,0
19578,ADI,NJT,12-09-2017,15-08-2017,2A,182,GNWL,16,24,1,0,15,14,13,11,9,0
19578,ADI,CAN,01-11-2017,20-09-2017,SL,880,GNWL,4,27,1,1,0,0,0,0,0,1
19578,ADI,TEN,26-11-2017,28-09-2017,1A,10,RLWL,16,19,0,0,15,14,12,10,9,0
19578,ADI,MAO,03-07-2017,07-06-2017,SL,880,GNWL,63,110,0,1,59,51,48,36,29,0
19576,ADI,DWK,03-08-2017,05-05-2017,3A,216,RLWL,25,28,0,1,22,18,15,12,6,0
19569,ADI,BSB,21-08-2017,26-08-2017,SL,880,RLWL,62,96,1,0,56,54,47,39,32,0
19568,ADI,PUNE,18-09-2017,04-09-2017,3A,216,GNWL,14,26,0,1,11,10,5,3,1,1
19568,ADI,CVP,27-07-2017,11-05-2017,SL,880,RLWL,63,63,1,0,61,60,54,44,39,0
19568,ADI,SA,26-12-2017,19-10-2017,3A,216,GNWL,25,32,0,1,23,22,19,16,13,0
19568,ADI,ED,01-10-2017,11-07-2017,SL,880,RLWL,26,66,0,1,21,12,11,7,0,1
19452,ADI,BDTS,27-08-2017,05-05-2017,3A,216,GNWL,20,26,1,0,18,13,10,7,6,0
19421,ADI,PNBE,03-11-2017,02-09-2017,SL,880,RLWL,74,75,0,0,69,63,62,59,55,0
19421,ADI,BSB,14-08-2017,29-06-2017,SL,880,GNWL,75,102,1,1,72,63,61,53,42,0
19421,ADI,PNBE,20-09-2017,20-07-2017,SL,880,RLWL,48,96,1,1,43,41,34,27,21,0
19421,ADI,PNBE,24-07-2017,22-06-2017,1A,10,GNWL,16,17,1,1,15,13,11,9,8,0
19421,ADI,PNBE,04-11-2017,29-09-2017,3A,216,GNWL,44,50,0,1,41,40,36,33,28,0
19421,ADI,PNBE,13-08-2017,09-05-2017,1A,10,GNWL,9,15,1,0,8,6,4,2,0,1
19421,ADI,ARA,29-07-2017,28-06-2017,SL,880,GNWL,81,106,1,1,77,74,73,71,66,0
19421,ADI,PNBE,25-11-2017,01-10-2017,SL,880,GNWL,60,85,0,1,59,56,48,46,44,0
19420,ADI,MAS,02-10-2017,05-10-2017,3A,216,RLWL,27,30,1,1,24,20,16,14,10,0
19420,ADI,SUR,09-12-2017,13-09-2017,SL,880,GNWL,92,95,1,1,88,80,70,58,56,0
19420,ADI,MAS,24-09-2017,11-09-2017,SL,880,GNWL,79,86,0,0,74,68,61,59,47,0
19420,ADI,GY,02-10-2017,20-07-2017,3A,216,RLWL,12,13,1,1,9,7,3,0,0,1
19420,ADI,MAS,29-08-2017,29-05-2017,3A,216,GNWL,30,42,1,1,27,23,20,16,14,0
19420,ADI,MAS,06-09-2017,14-07-2017,2A,182,RLWL,26,26,0,1,24,23,19,15,12,0
19420,ADI,MAS,09-10-2017,08-10-2017,3A,216,RLWL,1,7,0,1,0,0,0,0,0,1
19420,ADI,MAS,22-07-2017,29-06-2017,SL,880,GNWL,14,87,0,1,11,4,0,0,0,1
19420,ADI,RU,19-12-2017,19-10-2017,2A,182,RLWL,24,26,0,1,22,21,19,15,12,0
19420,ADI,RU,01-12-2017,26-09-2017,SL,880,GNWL,11,76,1,0,4,0,0,0,0,1
19420,ADI,MAS,06-07-2017,03-07-2017,3A,216,GNWL,23,39,0,0,20,15,14,12,10,0
19417,ADI,JBP,10-12-2017,12-09-2017,SL,880,RLWL,22,62,1,0,18,17,10,8,1,1
